Wife.ID,Hus.ID,WifeSumLast3Days,HusSumLast3Days,WifeCV_USE,HusCV_USE,WifeFishDummy,WifeSellDummy,WifeStayHomeDummy,W_ocu,HusFishHalflYrDum,Boat_dummy,HusAge,WifeAge,CLD_AGE_AVG,CLD_LIVING,YoungChildAge,BF_Under3,Cld_under_5_dum,Cld_under3_dum,Still_BF_dum,Exclusive_bf_dum,AvgTimeExclBF,AvgTimeFullWean,Time_market_min,Time.Market.LN,Dist_Meghna_km,TimeToMkt_Recode,DistMeg_Recode,AVAIL_AP_NUM,AlloMo,Father_Parent
CB110202,CB110101,275,815,0.3822,0.3822,1,0,0,1,0,1,34,26,6,2,3,0,1,0,0,0,,,5,0.698970004,9,0,0,0,0,0
CB140202,CB140101,0,900,0,0,0,0,1,5,0,1,30,18,4,1,3.58,0,1,1,0,0,1,1.5,5,0.698970004,9,0,0,0,0,0
CB160202,CB160101,0,3000,0,0.2,0,0,1,5,0,1,35,25,7,1,6.5,0,0,0,0,0,1.5,1.5,5,0.698970004,7,0,0,0,0,0
CH040202,CH040101,800,800,0.202,0.1922,1,0,0,1,0,0,40,35,13,1,13,0,0,0,0,0,0.5,1,5,0.698970004,7,0,0,0,0,0
CH180202,CH180101,600,1537.5,0.063,0.063,1,0,0,1,0,0,50,40,21,6,13,0,0,0,0,0,0.5,2,5,0.698970004,7,0,0,0,0,0
NY030202,NY030101,0,700,0,0.8921,0,0,1,5,0,1,45,40,20,3,17,0,0,0,0,0,0.06,1.19,5,0.698970004,15,0,0,0,0,0
CH260202,CH260101,470,470,0.1768,0.7988,1,0,0,1,0,1,40,32,3,1,4,0,1,,0,0,,,5,0.698970004,7,0,0,0,0,0
DP010202,DP010101,0,1150,0,0.4605,0,0,1,5,0,1,25,23,5,1,5,0,0,0,0,0,0.5,3.5,120,2.079181246,19,1,0,0,0,0
AM010202,AM010101,1000,4550,0.5542,0.5542,1,0,0,1,0,1,40,17,,0,,0,,,0,0,,,90,1.954242509,1,1,1,0,0,0
AM030202,AM030101,0,835,0,0.6514,0,0,1,5,0,1,27,22,6,3,2,0,1,1,0,0,0.58333,2,90,1.954242509,1,1,1,2,2,0
AM050202,AM050101,0,3900,0,0.7846,0,0,1,5,0,1,60,45,16,9,3,0,1,0,0,0,1.97,2.31,90,1.954242509,1,1,1,2,2,0
AM060202,AM060101,670,275,0.8854,0.8921,1,0,0,1,0,1,70,60,37,7,31,0,0,0,0,0,,,90,1.954242509,1,1,1,0,0,0
AM080202,AM080101,1205,2300,0.2165,0.5134,1,0,0,1,0,1,35,30,,1,11,0,0,0,0,0,0.25,5,90,1.954242509,1,1,1,0,0,0
AM100202,AM100101,1650,1650,0.3278,0.3278,1,0,0,1,0,1,35,30,11,3,8,0,0,0,0,0,,,90,1.954242509,1,1,1,1,1,0
AM120202,AM120101,1200,900,0.5,0.8819,1,0,0,1,0,1,43,28,6,2,4,0,1,0,0,0,1,4,90,1.954242509,1,1,1,1,1,0
AM130202,AM130101,600,600,0.4714,0.4714,1,0,0,1,0,1,40,30,10,3,7,0,0,0,0,0,0.67,3,90,1.954242509,1,1,1,1,1,0
AM140202,AM140101,937.5,265,0.866,0.866,1,0,0,1,0,1,55,45,23,5,8,0,0,0,0,0,0.7,1.5,90,1.954242509,1,1,1,0,0,0
AM160202,AM160101,720,720,1,1,1,0,0,1,0,1,32,27,6,2,3,0,1,1,0,0,0.42,2,90,1.954242509,1,1,1,0,0,0
AM170202,AM170101,1375,1375,0.6131,0.6131,1,0,0,1,0,1,70,55,29,6,17,0,0,0,0,0,1,5,90,1.954242509,1,1,1,0,0,0
AM180101,AM180101,1071,1071,0.343,0.343,1,0,0,1,0,1,42,32,12,4,,0,,,0,0,,,90,1.954242509,1,1,1,1,1,0
