Individual,Spouse.ID,Day,Female.Dummy,Profit,Occupation
AM010101,AM010202,1,0,700,1
AM010101,AM010202,2,0,1800,1
AM010101,AM010202,3,0,2700,1
AM010101,AM010202,4,0,300,1
AM010101,AM010202,5,0,400,1
AM010101,AM010202,6,0,300,1
AM010202,AM010101,1,1,700,1
AM010202,AM010101,2,1,1800,1
AM010202,AM010101,3,1,2700,1
AM010202,AM010101,4,1,300,1
AM010202,AM010101,5,1,400,1
AM010202,AM010101,6,1,300,1
AM020203,,1,1,300,1
AM020203,,2,1,200,1
AM020203,,3,1,400,1
AM030101,AM030202,1,0,500,1
AM030101,AM030202,2,0,0,1
AM030101,AM030202,3,0,450,1
AM030101,AM030202,4,0,600,1
AM030101,AM030202,5,0,1000,1
AM030101,AM030202,6,0,600,1
AM030101,AM030202,7,0,800,1
AM030101,AM030202,8,0,0,1
AM030101,AM030202,9,0,800,1
AM030202,AM030101,,1,,5
AM040101,AM040202,1,0,0,1
AM040101,AM040202,2,0,1500,1
AM040101,AM040202,3,0,6300,1
AM040101,AM040202,4,0,300,1
AM040101,AM040202,5,0,1000,1
AM040101,AM040202,6,0,300,1
AM040202,AM040101,1,1,150,2
AM040202,AM040101,2,1,300,2
AM040202,AM040101,3,1,150,2
AM040202,AM040101,4,1,200,2
AM050101,AM050202,1,0,2400,1
AM050101,AM050202,2,0,700,1
AM050101,AM050202,3,0,800,1
AM050101,AM050202,4,0,750,1
AM050101,AM050202,5,0,400,1
AM050101,AM050202,6,0,300,1
AM050101,AM050202,7,0,300,1
AM050101,AM050202,8,0,900,1
AM050202,AM050101,,1,,5
AM060101,AM060202,1,0,400,1
AM060101,AM060202,2,0,0,1
AM060101,AM060202,3,0,200,1
AM060101,AM060202,4,0,500,1
AM060101,AM060202,5,0,640,1
AM060202,AM060101,1,1,400,1
AM060202,AM060101,2,1,0,1
AM060202,AM060101,3,1,200,1
AM060202,AM060101,4,1,500,1
AM060202,AM060101,5,1,640,1
AM080101,AM080202,1,0,500,1
AM080101,AM080202,2,0,1200,1
AM080101,AM080202,3,0,1300,1
AM080101,AM080202,4,0,500,1
AM080101,AM080202,5,0,1100,1
AM080101,AM080202,6,0,700,1
AM080101,AM080202,7,0,400,1
AM080101,AM080202,8,0,450,1
AM080101,AM080202,9,0,900,1
AM080101,AM080202,10,0,170,1
AM080101,AM080202,11,0,600,1
AM080202,AM080101,1,1,500,1
AM080202,AM080101,2,1,1100,1
AM080202,AM080101,3,1,700,1
AM080202,AM080101,4,1,900,1
AM080202,AM080101,5,1,170,1
AM080202,AM080101,6,1,600,1
AM090101,AM090202,1,0,370,1
AM090101,AM090202,2,0,3000,1
AM090101,AM090202,3,0,0,1
AM090101,AM090202,4,0,1500,1
AM090101,AM090202,5,0,400,1
AM090101,AM090202,6,0,2400,1
AM090101,AM090202,7,0,680,1
AM090202,AM090101,1,1,370,1
AM090202,AM090101,2,1,400,1
AM090202,AM090101,3,1,2400,1
AM090202,AM090101,4,1,680,1
AM100101,AM100202,1,0,800,1
AM100101,AM100202,2,0,1000,1
AM100101,AM100202,3,0,1500,1
AM100202,AM100101,1,1,800,1
AM100202,AM100101,2,1,1000,1
AM100202,AM100101,3,1,1500,1
AM110101,AM110202,1,0,0,1
AM110101,AM110202,2,0,150,1
AM110101,AM110202,3,0,220,1
AM110202,AM110101,1,1,0,1
AM110202,AM110101,2,1,1180,1
AM110202,AM110101,3,1,150,1
AM110202,AM110101,4,1,0,1
AM110202,AM110101,5,1,220,1
AM110202,AM110101,6,1,0,1
AM120101,AM120202,1,0,600,1
AM120101,AM120202,2,0,200,1
AM120101,AM120202,3,0,400,1
AM120202,AM120101,1,1,600,1
AM120202,AM120101,2,1,200,1
AM120202,AM120101,3,1,400,1
AM130101,AM130202,1,0,800,1
AM130101,AM130202,2,0,400,1
AM130101,AM130202,3,0,500,1
AM130101,AM130202,4,0,100,1
AM130101,AM130202,5,0,300,1
AM130202,AM130101,1,1,800,1
AM130202,AM130101,2,1,400,1
AM130202,AM130101,3,1,300,1
AM130202,AM130101,4,1,800,1
AM130202,AM130101,5,1,400,1
AM140101,AM140202,1,0,250,1
AM140101,AM140202,2,0,600,1
AM140101,AM140202,3,0,500,1
AM140101,AM140202,4,0,380,1
AM140101,AM140202,5,0,0,1
AM140101,AM140202,6,0,150,1
AM140202,AM140101,1,1,250,1
AM140202,AM140101,2,1,600,1
AM140202,AM140101,3,1,500,1
AM140202,AM140101,4,1,380,1
AM140202,AM140101,5,1,0,1
AM140202,AM140101,6,1,150,1
AM160101,AM160202,1,1,360,1
AM160101,AM160202,2,1,450,1
AM160101,AM160202,3,1,270,1
AM160101,AM160202,4,1,600,1
AM160101,AM160202,5,1,300,1
AM160101,AM160202,6,1,0,1
AM160202,AM160101,1,0,360,1
AM160202,AM160101,2,0,450,1
AM160202,AM160101,3,0,270,1
AM160202,AM160101,4,0,600,1
AM160202,AM160101,5,0,300,1
AM160202,AM160101,6,0,0,1
AM170101,AM170202,1,0,150,1
AM170101,AM170202,2,0,525,1
AM170101,AM170202,3,0,700,1
AM170202,AM170101,1,1,150,1
AM170202,AM170101,2,1,525,1
AM170202,AM170101,3,1,700,1
AM180101,AM180202,1,0,1000,1
CB010101,CB010202,1,0,350,1
CB010101,CB010202,2,0,650,1
CB010101,CB010202,3,0,540,1
CB010101,CB010202,4,0,1125,1
CB010101,CB010202,5,0,900,1
CB010202,CB010101,1,1,400,2
CB010202,CB010101,2,1,400,2
CB010202,CB010101,3,1,400,2
CB020101,CB020202,1,0,50,1
CB020101,CB020202,2,0,50,1
CB020101,CB020202,3,0,50,1
CB020202,CB020101,,1,,5
CB030101,CB030202,1,0,340,1
CB030101,CB030202,2,0,1900,1
CB030202,CB030101,,1,,5
CB060101,CB060202,1,0,290,1
CB060101,CB060202,2,0,750,1
CB060101,CB060202,3,0,470,1
CB060101,CB060202,4,0,800,1
CB060101,CB060202,5,0,300,1
CB060101,CB060202,6,0,200,1
CB060202,CB060101,1,1,300,2
CB060202,CB060101,2,1,20,2
CB060202,CB060101,3,1,50,2
CB060202,CB060101,4,1,300,2
CB060202,CB060101,5,1,400,2
CB060202,CB060101,6,1,0,2
CB070202,,1,1,200,2
CB070202,,2,1,250,2
CB070202,,3,1,300,2
CB070202,,4,1,500,2
CB070202,,5,1,0,2
CB090101,CB090202,1,0,800,1
CB090101,CB090202,2,0,0,1
CB090101,CB090202,3,0,200,1
CB090101,CB090202,4,0,400,1
CB090101,CB090202,5,0,800,1
CB090101,CB090202,6,0,400,1
CB090202,CB090101,1,1,700,2
CB090202,CB090101,2,1,900,2
CB090202,CB090101,3,1,400,2
CB100101,CB100202,1,0,250,1
CB100202,CB100101,,1,,5
CB110101,CB110202,1,0,360,1
CB110101,CB110202,2,0,720,1
CB110101,CB110202,3,0,590,1
CB110101,CB110202,4,0,320,1
CB110101,CB110202,5,0,500,1
CB110101,CB110202,6,0,300,1
CB110202,CB110101,1,1,275,1
CB110202,CB110101,2,1,720,1
CB110202,CB110101,3,1,590,1
CB110202,CB110101,4,1,320,1
CB130202,CB130101,,1,,5
CB140101,CB140202,1,0,300,1
CB140101,CB140202,2,0,300,1
CB140101,CB140202,3,0,300,1
CB140202,CB140101,,1,,5
CB160101,CB160202,1,0,800,1
CB160101,CB160202,2,0,800,1
CB160101,CB160202,3,0,400,1
CB160101,CB160202,4,0,1800,1
CB160101,CB160202,5,0,500,1
CB160101,CB160202,6,0,400,1
CB160101,CB160202,7,0,600,1
CB160202,CB160101,,1,,5
CH010202,CH010101,1,1,150,2
CH010202,CH010101,2,1,150,2
CH010202,CH010101,3,1,150,2
CH010203,,,1,,5
CH020101,CH020202,1,0,550,
CH020202,CH020101,1,1,450,2
CH020202,CH020101,2,1,450,2
CH020202,CH020101,3,1,450,2
CH030101,CH030202,1,0,1200,1
CH030101,CH030202,2,0,1200,1
CH030101,CH030202,3,0,1200,1
CH030101,CH030202,4,0,1200,1
CH030101,CH030202,5,0,1200,1
CH030101,CH030202,6,0,1200,1
CH030101,CH030202,7,0,900,1
CH030101,CH030202,8,0,900,1
CH030101,CH030202,9,0,900,1
CH030202,CH030101,1,1,400,2
CH030202,CH030101,2,1,500,2
CH030202,CH030101,3,1,500,2
CH030202,CH030101,4,1,480,2
CH030202,CH030101,5,1,310,2
CH040101,CH040202,1,0,150,1
CH040101,CH040202,2,0,200,1
CH040101,CH040202,3,0,1000,1
CH040101,CH040202,4,0,900,1
CH040101,CH040202,5,0,600,1
CH040202,CH040101,1,1,1000,1
CH040202,CH040101,2,1,900,1
CH040202,CH040101,3,1,600,1
CH040202,CH040101,4,1,150,1
CH040202,CH040101,5,1,200,1
CH050101,CH050202,1,0,0,1
CH050101,CH050202,2,0,380,1
CH050101,CH050202,3,0,240,1
CH050101,CH050202,4,0,240,1
CH050202,CH050101,1,1,0,1
CH050202,CH050101,2,1,380,1
CH050202,CH050101,3,1,240,1
CH050202,CH050101,4,1,240,1
CH060202,CH050101,1,1,300,2
CH070101,CH070202,1,0,150,1
CH070101,CH070202,2,0,300,1
CH070101,CH070202,3,0,650,1
CH080216,,,1,,5
CH090101,CH090202,1,0,900,1
CH090101,CH090202,2,0,600,1
CH090101,CH090202,3,0,400,1
CH090202,CH090101,1,1,350,2
CH090202,CH090101,2,1,320,2
CH090202,CH090101,3,1,240,2
CH090202,CH090101,4,1,500,2
CH090202,CH090101,5,1,600,2
CH100101,CH100202,1,0,250,1
CH100101,CH100202,1,0,900,1
CH100101,CH100202,2,0,300,1
CH100101,CH100202,2,0,1800,1
CH100101,CH100202,3,0,200,1
CH100101,CH100202,3,0,1000,1
CH110101,CH110202,1,0,150,1
CH110101,CH110202,2,0,100,1
CH110101,CH110202,3,0,150,1
CH110103,CH110226,1,0,1000,1
CH110103,CH110226,2,0,550,1
CH110103,CH110226,3,0,1030,1
CH110202,CH110101,1,1,200,2
CH110202,CH110101,2,1,-400,2
CH110202,CH110101,3,1,-50,2
CH110226,CH110103,1,1,180,2
CH110226,CH110103,2,1,170,2
CH110226,CH110103,3,1,250,2
CH140101,CH140202,1,0,1200,1
CH140101,CH140202,2,0,600,1
